,Race_result_Pos,Race_result_No,Driver,Race_result_Car,Race_result_Laps,Race_result_Time/Retired,Race_result_PTS,Fastest_laps_Pos,Fastest_laps_No,Fastest_laps_Car,Fastest_laps_Lap,Fastest_laps_Time,Fastest_laps_Avg_Speed,Pit_stop_summary_Stops,Pit_stop_summary_No,Pit_stop_summary_Car,Pit_stop_summary_Lap,Pit_stop_summary_Time_of_day,Pit_stop_summary_Time,Pit_stop_summary_Total,Starting_grid_Pos,Starting_grid_No,Starting_grid_Car,Starting_grid_Time,Qualifying_Pos,Qualifying_No,Qualifying_Car,Qualifying_Q1,Qualifying_Q2,Qualifying_Q3,Qualifying_Laps,Practice_3_Pos,Practice_3_No,Practice_3_Car,Practice_3_Time,Practice_3_Gap,Practice_3_Laps,Practice_2_Pos,Practice_2_No,Practice_2_Car,Practice_2_Time,Practice_2_Gap,Practice_2_Laps,Practice_1_Pos,Practice_1_No,Practice_1_Car,Practice_1_Time,Practice_1_Gap,Practice_1_Laps,location,year
715,NC,8,Romain Grosjean GRO,Lotus Renault,37,DNF,0,12,8,Lotus Renault,35,1:51.097,164.126,2,8,Lotus Renault,25,20:52:13,30.293,59.995,3,8,Lotus Renault,1:43.058,3,8,Lotus Renault,1:45.851,1:43.957,1:43.058,21,2,8,Lotus Renault,1:44.364,+0.191s,16,5,8,Lotus Renault,1:45.411,+1.162s,18,6,8,Lotus Renault,1:48.355,+1.300s,12,Singapore,2013
716,NC,8,Romain Grosjean GRO,Lotus Renault,37,DNF,0,12,8,Lotus Renault,35,1:51.097,164.126,3,8,Lotus Renault,33,21:11:23,1:13.009,2:13.004,3,8,Lotus Renault,1:43.058,3,8,Lotus Renault,1:45.851,1:43.957,1:43.058,21,2,8,Lotus Renault,1:44.364,+0.191s,16,5,8,Lotus Renault,1:45.411,+1.162s,18,6,8,Lotus Renault,1:48.355,+1.300s,12,Singapore,2013
717,NC,19,Daniel Ricciardo RIC,STR Ferrari,23,DNF,0,22,19,STR Ferrari,23,1:53.052,161.288,1,19,STR Ferrari,15,20:33:06,32.097,32.097,9,19,STR Ferrari,1:44.439,9,19,STR Ferrari,1:45.379,1:44.407,1:44.439,16,14,19,STR Ferrari,1:46.358,+2.185s,16,11,19,STR Ferrari,1:46.406,+2.157s,34,18,19,STR Ferrari,1:50.757,+3.702s,16,Singapore,2013
718,1,1,Sebastian Vettel VET,Red Bull Racing Renault,55,1:43:13.701,25,1,1,Red Bull Racing Renault,53,1:41.380,199.388,1,1,Red Bull Racing Renault,11,15:23:22,22.662,22.662,1,1,Red Bull Racing Renault,1:37.202,1,1,Red Bull Racing Renault,1:38.683,1:37.569,1:37.202,13,1,1,Red Bull Racing Renault,1:37.881,,17,2,1,Red Bull Racing Renault,1:38.781,+0.108s,30,2,1,Red Bull Racing Renault,1:39.667,+0.037s,20,South Korea,2013
719,1,1,Sebastian Vettel VET,Red Bull Racing Renault,55,1:43:13.701,25,1,1,Red Bull Racing Renault,53,1:41.380,199.388,2,1,Red Bull Racing Renault,31,15:58:48,22.935,45.597,1,1,Red Bull Racing Renault,1:37.202,1,1,Red Bull Racing Renault,1:38.683,1:37.569,1:37.202,13,1,1,Red Bull Racing Renault,1:37.881,,17,2,1,Red Bull Racing Renault,1:38.781,+0.108s,30,2,1,Red Bull Racing Renault,1:39.667,+0.037s,20,South Korea,2013
720,2,7,Kimi Räikkönen RAI,Lotus Renault,55,+4.224s,18,3,7,Lotus Renault,51,1:41.975,198.225,1,7,Lotus Renault,11,15:23:39,22.924,22.924,9,7,Lotus Renault,1:38.822,10,7,Lotus Renault,1:38.341,1:38.181,1:38.822,17,8,7,Lotus Renault,1:38.857,+0.976s,17,8,7,Lotus Renault,1:39.757,+1.084s,33,8,7,Lotus Renault,1:40.677,+1.047s,15,South Korea,2013
721,2,7,Kimi Räikkönen RAI,Lotus Renault,55,+4.224s,18,3,7,Lotus Renault,51,1:41.975,198.225,2,7,Lotus Renault,25,15:48:47,23.236,46.160,9,7,Lotus Renault,1:38.822,10,7,Lotus Renault,1:38.341,1:38.181,1:38.822,17,8,7,Lotus Renault,1:38.857,+0.976s,17,8,7,Lotus Renault,1:39.757,+1.084s,33,8,7,Lotus Renault,1:40.677,+1.047s,15,South Korea,2013
722,3,8,Romain Grosjean GRO,Lotus Renault,55,+4.927s,15,2,8,Lotus Renault,46,1:41.936,198.300,1,8,Lotus Renault,10,15:21:39,22.519,22.519,3,8,Lotus Renault,1:37.531,4,8,Lotus Renault,1:39.065,1:38.076,1:37.531,14,6,8,Lotus Renault,1:38.701,+0.820s,19,6,8,Lotus Renault,1:39.226,+0.553s,34,7,8,Lotus Renault,1:40.396,+0.766s,19,South Korea,2013
723,3,8,Romain Grosjean GRO,Lotus Renault,55,+4.927s,15,2,8,Lotus Renault,46,1:41.936,198.300,2,8,Lotus Renault,31,15:58:56,22.767,45.286,3,8,Lotus Renault,1:37.531,4,8,Lotus Renault,1:39.065,1:38.076,1:37.531,14,6,8,Lotus Renault,1:38.701,+0.820s,19,6,8,Lotus Renault,1:39.226,+0.553s,34,7,8,Lotus Renault,1:40.396,+0.766s,19,South Korea,2013
724,4,11,Nico Hulkenberg HUL,Sauber Ferrari,55,+24.114s,12,6,11,Sauber Ferrari,53,1:42.608,197.002,1,11,Sauber Ferrari,10,15:21:50,23.654,23.654,7,11,Sauber Ferrari,1:38.237,8,11,Sauber Ferrari,1:38.427,1:37.913,1:38.237,17,9,11,Sauber Ferrari,1:38.961,+1.080s,16,14,11,Sauber Ferrari,1:40.210,+1.537s,34,11,11,Sauber Ferrari,1:40.899,+1.269s,20,South Korea,2013
725,4,11,Nico Hulkenberg HUL,Sauber Ferrari,55,+24.114s,12,6,11,Sauber Ferrari,53,1:42.608,197.002,2,11,Sauber Ferrari,26,15:50:32,24.112,47.766,7,11,Sauber Ferrari,1:38.237,8,11,Sauber Ferrari,1:38.427,1:37.913,1:38.237,17,9,11,Sauber Ferrari,1:38.961,+1.080s,16,14,11,Sauber Ferrari,1:40.210,+1.537s,34,11,11,Sauber Ferrari,1:40.899,+1.269s,20,South Korea,2013
726,5,10,Lewis Hamilton HAM,Mercedes,55,+25.255s,10,5,10,Mercedes,53,1:42.539,197.134,1,10,Mercedes,9,15:19:55,22.270,22.270,2,10,Mercedes,1:37.420,2,10,Mercedes,1:38.574,1:37.824,1:37.420,16,4,10,Mercedes,1:38.332,+0.451s,15,1,10,Mercedes,1:38.673,,31,1,10,Mercedes,1:39.630,,20,South Korea,2013
727,5,10,Lewis Hamilton HAM,Mercedes,55,+25.255s,10,5,10,Mercedes,53,1:42.539,197.134,2,10,Mercedes,29,15:55:45,22.251,44.521,2,10,Mercedes,1:37.420,2,10,Mercedes,1:38.574,1:37.824,1:37.420,16,4,10,Mercedes,1:38.332,+0.451s,15,1,10,Mercedes,1:38.673,,31,1,10,Mercedes,1:39.630,,20,South Korea,2013
728,6,3,Fernando Alonso ALO,Ferrari,55,+26.189s,8,7,3,Ferrari,54,1:42.709,196.808,1,3,Ferrari,9,15:20:07,22.208,22.208,5,3,Ferrari,1:38.038,6,3,Ferrari,1:38.520,1:37.978,1:38.038,17,5,3,Ferrari,1:38.486,+0.605s,13,7,3,Ferrari,1:39.444,+0.771s,31,6,3,Ferrari,1:40.374,+0.744s,18,South Korea,2013
729,6,3,Fernando Alonso ALO,Ferrari,55,+26.189s,8,7,3,Ferrari,54,1:42.709,196.808,2,3,Ferrari,28,15:54:07,22.807,45.015,5,3,Ferrari,1:38.038,6,3,Ferrari,1:38.520,1:37.978,1:38.038,17,5,3,Ferrari,1:38.486,+0.605s,13,7,3,Ferrari,1:39.444,+0.771s,31,6,3,Ferrari,1:40.374,+0.744s,18,South Korea,2013
730,7,9,Nico Rosberg ROS,Mercedes,55,+26.698s,6,4,9,Mercedes,54,1:42.471,197.265,1,9,Mercedes,10,15:21:47,23.412,23.412,4,9,Mercedes,1:37.679,5,9,Mercedes,1:38.418,1:38.031,1:37.679,16,3,9,Mercedes,1:38.318,+0.437s,16,3,9,Mercedes,1:38.797,+0.124s,32,4,9,Mercedes,1:40.117,+0.487s,20,South Korea,2013
731,7,9,Nico Rosberg ROS,Mercedes,55,+26.698s,6,4,9,Mercedes,54,1:42.471,197.265,2,9,Mercedes,28,15:53:56,42.432,1:05.844,4,9,Mercedes,1:37.679,5,9,Mercedes,1:38.418,1:38.031,1:37.679,16,3,9,Mercedes,1:38.318,+0.437s,16,3,9,Mercedes,1:38.797,+0.124s,32,4,9,Mercedes,1:40.117,+0.487s,20,South Korea,2013
732,8,5,Jenson Button BUT,McLaren Mercedes,55,+32.262s,4,12,5,McLaren Mercedes,45,1:43.073,196.113,1,5,McLaren Mercedes,4,15:11:11,26.948,26.948,11,5,McLaren Mercedes,1:38.365,12,5,McLaren Mercedes,1:38.882,1:38.365,,14,10,5,McLaren Mercedes,1:39.114,+1.233s,14,9,5,McLaren Mercedes,1:39.774,+1.101s,29,5,5,McLaren Mercedes,1:40.215,+0.585s,22,South Korea,2013
733,8,5,Jenson Button BUT,McLaren Mercedes,55,+32.262s,4,12,5,McLaren Mercedes,45,1:43.073,196.113,2,5,McLaren Mercedes,22,15:43:41,25.946,52.894,11,5,McLaren Mercedes,1:38.365,12,5,McLaren Mercedes,1:38.882,1:38.365,,14,10,5,McLaren Mercedes,1:39.114,+1.233s,14,9,5,McLaren Mercedes,1:39.774,+1.101s,29,5,5,McLaren Mercedes,1:40.215,+0.585s,22,South Korea,2013
734,9,4,Felipe Massa MAS,Ferrari,55,+34.390s,2,10,4,Ferrari,47,1:42.954,196.340,1,4,Ferrari,6,15:14:57,22.474,22.474,6,4,Ferrari,1:38.223,7,4,Ferrari,1:38.884,1:38.295,1:38.223,16,7,4,Ferrari,1:38.816,+0.935s,14,5,4,Ferrari,1:39.114,+0.441s,30,10,4,Ferrari,1:40.880,+1.250s,13,South Korea,2013
735,9,4,Felipe Massa MAS,Ferrari,55,+34.390s,2,10,4,Ferrari,47,1:42.954,196.340,2,4,Ferrari,29,15:56:20,22.401,44.875,6,4,Ferrari,1:38.223,7,4,Ferrari,1:38.884,1:38.295,1:38.223,16,7,4,Ferrari,1:38.816,+0.935s,14,5,4,Ferrari,1:39.114,+0.441s,30,10,4,Ferrari,1:40.880,+1.250s,13,South Korea,2013
736,10,6,Sergio Perez PER,McLaren Mercedes,55,+35.155s,1,11,6,McLaren Mercedes,47,1:42.973,196.303,1,6,McLaren Mercedes,10,15:22:03,22.901,22.901,10,6,McLaren Mercedes,1:38.362,11,6,McLaren Mercedes,1:39.049,1:38.362,,14,14,6,McLaren Mercedes,1:39.274,+1.393s,15,12,6,McLaren Mercedes,1:40.152,+1.479s,31,9,6,McLaren Mercedes,1:40.860,+1.230s,20,South Korea,2013
737,10,6,Sergio Perez PER,McLaren Mercedes,55,+35.155s,1,11,6,McLaren Mercedes,47,1:42.973,196.303,2,6,McLaren Mercedes,31,16:00:22,38.893,1:01.794,10,6,McLaren Mercedes,1:38.362,11,6,McLaren Mercedes,1:39.049,1:38.362,,14,14,6,McLaren Mercedes,1:39.274,+1.393s,15,12,6,McLaren Mercedes,1:40.152,+1.479s,31,9,6,McLaren Mercedes,1:40.860,+1.230s,20,South Korea,2013
738,11,12,Esteban Gutierrez GUT,Sauber Ferrari,55,+35.990s,0,8,12,Sauber Ferrari,55,1:42.744,196.741,1,12,Sauber Ferrari,7,15:16:43,23.096,23.096,8,12,Sauber Ferrari,1:38.405,9,12,Sauber Ferrari,1:38.725,1:38.327,1:38.405,15,11,12,Sauber Ferrari,1:39.128,+1.247s,15,13,12,Sauber Ferrari,1:40.186,+1.513s,33,14,12,Sauber Ferrari,1:41.626,+1.996s,21,South Korea,2013
739,11,12,Esteban Gutierrez GUT,Sauber Ferrari,55,+35.990s,0,8,12,Sauber Ferrari,55,1:42.744,196.741,2,12,Sauber Ferrari,31,16:00:19,23.408,46.504,8,12,Sauber Ferrari,1:38.405,9,12,Sauber Ferrari,1:38.725,1:38.327,1:38.405,15,11,12,Sauber Ferrari,1:39.128,+1.247s,15,13,12,Sauber Ferrari,1:40.186,+1.513s,33,14,12,Sauber Ferrari,1:41.626,+1.996s,21,South Korea,2013
740,12,17,Valtteri Bottas BOT,Williams Renault,55,+47.049s,0,14,17,Williams Renault,44,1:43.869,194.610,1,17,Williams Renault,8,15:18:36,23.912,23.912,17,17,Williams Renault,1:39.470,17,17,Williams Renault,1:39.470,,,8,18,17,Williams Renault,1:40.128,+2.247s,17,18,17,Williams Renault,1:41.289,+2.616s,34,16,17,Williams Renault,1:42.002,+2.372s,20,South Korea,2013
741,12,17,Valtteri Bottas BOT,Williams Renault,55,+47.049s,0,14,17,Williams Renault,44,1:43.869,194.610,2,17,Williams Renault,28,15:54:54,24.240,48.152,17,17,Williams Renault,1:39.470,17,17,Williams Renault,1:39.470,,,8,18,17,Williams Renault,1:40.128,+2.247s,17,18,17,Williams Renault,1:41.289,+2.616s,34,16,17,Williams Renault,1:42.002,+2.372s,20,South Korea,2013
742,13,16,Pastor Maldonado MAL,Williams Renault,55,+50.013s,0,17,16,Williams Renault,43,1:44.136,194.111,1,16,Williams Renault,7,15:16:37,23.470,23.470,18,16,Williams Renault,1:39.987,18,16,Williams Renault,1:39.987,,,8,12,16,Williams Renault,1:39.196,+1.315s,16,17,16,Williams Renault,1:41.117,+2.444s,35,13,16,Williams Renault,1:41.482,+1.852s,22,South Korea,2013
743,13,16,Pastor Maldonado MAL,Williams Renault,55,+50.013s,0,17,16,Williams Renault,43,1:44.136,194.111,2,16,Williams Renault,23,15:45:35,23.642,47.112,18,16,Williams Renault,1:39.987,18,16,Williams Renault,1:39.987,,,8,12,16,Williams Renault,1:39.196,+1.315s,16,17,16,Williams Renault,1:41.117,+2.444s,35,13,16,Williams Renault,1:41.482,+1.852s,22,South Korea,2013
744,14,20,Charles Pic PIC,Caterham Renault,55,+63.578s,0,19,20,Caterham Renault,54,1:44.477,193.477,1,20,Caterham Renault,9,15:20:36,24.320,24.320,19,20,Caterham Renault,1:40.864,19,20,Caterham Renault,1:40.864,,,6,19,20,Caterham Renault,1:41.360,+3.479s,19,20,20,Caterham Renault,1:42.798,+4.125s,35,19,20,Caterham Renault,1:43.660,+4.030s,20,South Korea,2013
745,14,20,Charles Pic PIC,Caterham Renault,55,+63.578s,0,19,20,Caterham Renault,54,1:44.477,193.477,2,20,Caterham Renault,30,15:58:50,24.366,48.686,19,20,Caterham Renault,1:40.864,19,20,Caterham Renault,1:40.864,,,6,19,20,Caterham Renault,1:41.360,+3.479s,19,20,20,Caterham Renault,1:42.798,+4.125s,35,19,20,Caterham Renault,1:43.660,+4.030s,20,South Korea,2013
746,15,21,Giedo van der Garde VDG,Caterham Renault,55,+64.501s,0,18,21,Caterham Renault,55,1:44.375,193.667,1,21,Caterham Renault,10,15:22:24,17.513,17.513,20,21,Caterham Renault,1:40.871,20,21,Caterham Renault,1:40.871,,,6,20,21,Caterham Renault,1:41.614,+3.733s,20,19,21,Caterham Renault,1:42.461,+3.788s,36,20,21,Caterham Renault,1:43.883,+4.253s,19,South Korea,2013
747,15,21,Giedo van der Garde VDG,Caterham Renault,55,+64.501s,0,18,21,Caterham Renault,55,1:44.375,193.667,2,21,Caterham Renault,11,15:24:34,23.987,41.500,20,21,Caterham Renault,1:40.871,20,21,Caterham Renault,1:40.871,,,6,20,21,Caterham Renault,1:41.614,+3.733s,20,19,21,Caterham Renault,1:42.461,+3.788s,36,20,21,Caterham Renault,1:43.883,+4.253s,19,South Korea,2013
748,15,21,Giedo van der Garde VDG,Caterham Renault,55,+64.501s,0,18,21,Caterham Renault,55,1:44.375,193.667,3,21,Caterham Renault,30,15:59:22,24.548,1:06.048,20,21,Caterham Renault,1:40.871,20,21,Caterham Renault,1:40.871,,,6,20,21,Caterham Renault,1:41.614,+3.733s,20,19,21,Caterham Renault,1:42.461,+3.788s,36,20,21,Caterham Renault,1:43.883,+4.253s,19,South Korea,2013
749,16,22,Jules Bianchi BIA,Marussia Cosworth,55,+67.970s,0,20,22,Marussia Cosworth,54,1:44.991,192.530,1,22,Marussia Cosworth,10,15:22:31,23.097,23.097,22,22,Marussia Cosworth,1:41.169,21,22,Marussia Cosworth,1:41.169,,,6,21,22,Marussia Cosworth,1:41.646,+3.765s,14,21,22,Marussia Cosworth,1:43.108,+4.435s,31,,,,,,,South Korea,2013
750,16,22,Jules Bianchi BIA,Marussia Cosworth,55,+67.970s,0,20,22,Marussia Cosworth,54,1:44.991,192.530,2,22,Marussia Cosworth,30,15:59:15,23.814,46.911,22,22,Marussia Cosworth,1:41.169,21,22,Marussia Cosworth,1:41.169,,,6,21,22,Marussia Cosworth,1:41.646,+3.765s,14,21,22,Marussia Cosworth,1:43.108,+4.435s,31,,,,,,,South Korea,2013
751,17,23,Max Chilton CHI,Marussia Cosworth,55,+72.898s,0,21,23,Marussia Cosworth,48,1:45.408,191.769,1,23,Marussia Cosworth,12,15:26:16,23.761,23.761,21,23,Marussia Cosworth,1:41.322,22,23,Marussia Cosworth,1:41.322,,,6,22,23,Marussia Cosworth,1:42.267,+4.386s,17,22,23,Marussia Cosworth,1:43.441,+4.768s,29,21,23,Marussia Cosworth,1:44.100,+4.470s,14,South Korea,2013
752,17,23,Max Chilton CHI,Marussia Cosworth,55,+72.898s,0,21,23,Marussia Cosworth,48,1:45.408,191.769,2,23,Marussia Cosworth,30,15:59:21,26.299,50.060,21,23,Marussia Cosworth,1:41.322,22,23,Marussia Cosworth,1:41.322,,,6,22,23,Marussia Cosworth,1:42.267,+4.386s,17,22,23,Marussia Cosworth,1:43.441,+4.768s,29,21,23,Marussia Cosworth,1:44.100,+4.470s,14,South Korea,2013
753,18,18,Jean-Eric Vergne VER,STR Ferrari,53,DNF,0,15,18,STR Ferrari,52,1:44.090,194.197,1,18,STR Ferrari,12,15:25:54,24.477,24.477,16,18,STR Ferrari,1:38.781,16,18,STR Ferrari,1:39.075,1:38.781,,13,17,18,STR Ferrari,1:39.665,+1.784s,15,15,18,STR Ferrari,1:40.446,+1.773s,30,15,18,STR Ferrari,1:41.924,+2.294s,19,South Korea,2013
754,18,18,Jean-Eric Vergne VER,STR Ferrari,53,DNF,0,15,18,STR Ferrari,52,1:44.090,194.197,2,18,STR Ferrari,24,15:47:44,23.845,48.322,16,18,STR Ferrari,1:38.781,16,18,STR Ferrari,1:39.075,1:38.781,,13,17,18,STR Ferrari,1:39.665,+1.784s,15,15,18,STR Ferrari,1:40.446,+1.773s,30,15,18,STR Ferrari,1:41.924,+2.294s,19,South Korea,2013
755,18,18,Jean-Eric Vergne VER,STR Ferrari,53,DNF,0,15,18,STR Ferrari,52,1:44.090,194.197,3,18,STR Ferrari,38,16:16:31,24.016,1:12.338,16,18,STR Ferrari,1:38.781,16,18,STR Ferrari,1:39.075,1:38.781,,13,17,18,STR Ferrari,1:39.665,+1.784s,15,15,18,STR Ferrari,1:40.446,+1.773s,30,15,18,STR Ferrari,1:41.924,+2.294s,19,South Korea,2013
756,19,19,Daniel Ricciardo RIC,STR Ferrari,52,DNF,0,9,19,STR Ferrari,52,1:42.947,196.353,1,19,STR Ferrari,18,15:36:21,23.892,23.892,12,19,STR Ferrari,1:38.417,13,19,STR Ferrari,1:38.525,1:38.417,,14,15,19,STR Ferrari,1:39.327,+1.446s,17,16,19,STR Ferrari,1:40.552,+1.879s,26,17,19,STR Ferrari,1:42.043,+2.413s,18,South Korea,2013
757,19,19,Daniel Ricciardo RIC,STR Ferrari,52,DNF,0,9,19,STR Ferrari,52,1:42.947,196.353,2,19,STR Ferrari,31,16:00:11,23.194,47.086,12,19,STR Ferrari,1:38.417,13,19,STR Ferrari,1:38.525,1:38.417,,14,15,19,STR Ferrari,1:39.327,+1.446s,17,16,19,STR Ferrari,1:40.552,+1.879s,26,17,19,STR Ferrari,1:42.043,+2.413s,18,South Korea,2013
758,20,15,Adrian Sutil SUT,Force India Mercedes,50,DNF,0,16,15,Force India Mercedes,43,1:44.095,194.188,1,15,Force India Mercedes,3,15:09:31,29.829,29.829,14,15,Force India Mercedes,1:38.431,14,15,Force India Mercedes,1:38.988,1:38.431,,15,13,15,Force India Mercedes,1:39.204,+1.323s,17,10,15,Force India Mercedes,1:40.006,+1.333s,34,12,15,Force India Mercedes,1:41.432,+1.802s,18,South Korea,2013
759,20,15,Adrian Sutil SUT,Force India Mercedes,50,DNF,0,16,15,Force India Mercedes,43,1:44.095,194.188,2,15,Force India Mercedes,28,15:54:36,23.155,52.984,14,15,Force India Mercedes,1:38.431,14,15,Force India Mercedes,1:38.988,1:38.431,,15,13,15,Force India Mercedes,1:39.204,+1.323s,17,10,15,Force India Mercedes,1:40.006,+1.333s,34,12,15,Force India Mercedes,1:41.432,+1.802s,18,South Korea,2013
760,20,15,Adrian Sutil SUT,Force India Mercedes,50,DNF,0,16,15,Force India Mercedes,43,1:44.095,194.188,3,15,Force India Mercedes,38,16:16:46,1:11.445,2:04.429,14,15,Force India Mercedes,1:38.431,14,15,Force India Mercedes,1:38.988,1:38.431,,15,13,15,Force India Mercedes,1:39.204,+1.323s,17,10,15,Force India Mercedes,1:40.006,+1.333s,34,12,15,Force India Mercedes,1:41.432,+1.802s,18,South Korea,2013
761,20,15,Adrian Sutil SUT,Force India Mercedes,50,DNF,0,16,15,Force India Mercedes,43,1:44.095,194.188,4,15,Force India Mercedes,41,16:23:32,18.979,2:23.408,14,15,Force India Mercedes,1:38.431,14,15,Force India Mercedes,1:38.988,1:38.431,,15,13,15,Force India Mercedes,1:39.204,+1.323s,17,10,15,Force India Mercedes,1:40.006,+1.333s,34,12,15,Force India Mercedes,1:41.432,+1.802s,18,South Korea,2013
762,NC,2,Mark Webber WEB,Red Bull Racing Renault,36,DNF,0,13,2,Red Bull Racing Renault,27,1:43.863,194.621,1,2,Red Bull Racing Renault,12,15:25:27,22.587,22.587,13,2,Red Bull Racing Renault,1:37.464,3,2,Red Bull Racing Renault,1:39.138,1:37.840,1:37.464,13,2,2,Red Bull Racing Renault,1:38.018,+0.137s,17,4,2,Red Bull Racing Renault,1:38.844,+0.171s,35,3,2,Red Bull Racing Renault,1:39.816,+0.186s,19,South Korea,2013
763,NC,2,Mark Webber WEB,Red Bull Racing Renault,36,DNF,0,13,2,Red Bull Racing Renault,27,1:43.863,194.621,2,2,Red Bull Racing Renault,30,15:57:29,22.718,45.305,13,2,Red Bull Racing Renault,1:37.464,3,2,Red Bull Racing Renault,1:39.138,1:37.840,1:37.464,13,2,2,Red Bull Racing Renault,1:38.018,+0.137s,17,4,2,Red Bull Racing Renault,1:38.844,+0.171s,35,3,2,Red Bull Racing Renault,1:39.816,+0.186s,19,South Korea,2013
764,NC,2,Mark Webber WEB,Red Bull Racing Renault,36,DNF,0,13,2,Red Bull Racing Renault,27,1:43.863,194.621,3,2,Red Bull Racing Renault,31,16:00:12,23.490,1:08.795,13,2,Red Bull Racing Renault,1:37.464,3,2,Red Bull Racing Renault,1:39.138,1:37.840,1:37.464,13,2,2,Red Bull Racing Renault,1:38.018,+0.137s,17,4,2,Red Bull Racing Renault,1:38.844,+0.171s,35,3,2,Red Bull Racing Renault,1:39.816,+0.186s,19,South Korea,2013
765,NC,14,Paul di Resta DIR,Force India Mercedes,24,DNF,0,22,14,Force India Mercedes,10,1:46.411,189.961,1,14,Force India Mercedes,7,15:16:40,23.814,23.814,15,14,Force India Mercedes,1:38.718,15,14,Force India Mercedes,1:39.185,1:38.718,,15,16,14,Force India Mercedes,1:39.371,+1.490s,19,11,14,Force India Mercedes,1:40.007,+1.334s,34,,,,,,,South Korea,2013
766,NC,14,Paul di Resta DIR,Force India Mercedes,24,DNF,0,22,14,Force India Mercedes,10,1:46.411,189.961,2,14,Force India Mercedes,23,15:45:42,23.854,47.668,15,14,Force India Mercedes,1:38.718,15,14,Force India Mercedes,1:39.185,1:38.718,,15,16,14,Force India Mercedes,1:39.371,+1.490s,19,11,14,Force India Mercedes,1:40.007,+1.334s,34,,,,,,,South Korea,2013
767,,,James Calado CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,Force India Mercedes,1:43.008,+3.378s,21,South Korea,2013
768,,,Rodolfo Gonzalez GON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,Marussia Cosworth,1:46.810,+7.180s,10,South Korea,2013
769,1,1,Sebastian Vettel VET,Red Bull Racing Renault,53,1:26:49.301,25,4,1,Red Bull Racing Renault,39,1:35.317,219.322,1,1,Red Bull Racing Renault,14,15:26:53,22.916,22.916,2,1,Red Bull Racing Renault,1:31.089,2,1,Red Bull Racing Renault,1:32.397,1:31.290,1:31.089,13,9,1,Red Bull Racing Renault,1:33.036,+0.983s,8,1,1,Red Bull Racing Renault,1:33.852,,35,3,1,Red Bull Racing Renault,1:34.768,+0.611s,24,Japan,2013
770,1,1,Sebastian Vettel VET,Red Bull Racing Renault,53,1:26:49.301,25,4,1,Red Bull Racing Renault,39,1:35.317,219.322,2,1,Red Bull Racing Renault,37,16:04:36,22.873,45.789,2,1,Red Bull Racing Renault,1:31.089,2,1,Red Bull Racing Renault,1:32.397,1:31.290,1:31.089,13,9,1,Red Bull Racing Renault,1:33.036,+0.983s,8,1,1,Red Bull Racing Renault,1:33.852,,35,3,1,Red Bull Racing Renault,1:34.768,+0.611s,24,Japan,2013
771,2,2,Mark Webber WEB,Red Bull Racing Renault,53,+7.129s,18,1,2,Red Bull Racing Renault,44,1:34.587,221.015,1,2,Red Bull Racing Renault,11,15:21:54,23.617,23.617,1,2,Red Bull Racing Renault,1:30.915,1,2,Red Bull Racing Renault,1:32.271,1:31.513,1:30.915,13,1,2,Red Bull Racing Renault,1:32.053,,17,2,2,Red Bull Racing Renault,1:34.020,+0.168s,35,4,2,Red Bull Racing Renault,1:34.787,+0.630s,20,Japan,2013
772,2,2,Mark Webber WEB,Red Bull Racing Renault,53,+7.129s,18,1,2,Red Bull Racing Renault,44,1:34.587,221.015,2,2,Red Bull Racing Renault,25,15:45:06,22.774,46.391,1,2,Red Bull Racing Renault,1:30.915,1,2,Red Bull Racing Renault,1:32.271,1:31.513,1:30.915,13,1,2,Red Bull Racing Renault,1:32.053,,17,2,2,Red Bull Racing Renault,1:34.020,+0.168s,35,4,2,Red Bull Racing Renault,1:34.787,+0.630s,20,Japan,2013
773,2,2,Mark Webber WEB,Red Bull Racing Renault,53,+7.129s,18,1,2,Red Bull Racing Renault,44,1:34.587,221.015,3,2,Red Bull Racing Renault,42,16:12:42,23.094,1:09.485,1,2,Red Bull Racing Renault,1:30.915,1,2,Red Bull Racing Renault,1:32.271,1:31.513,1:30.915,13,1,2,Red Bull Racing Renault,1:32.053,,17,2,2,Red Bull Racing Renault,1:34.020,+0.168s,35,4,2,Red Bull Racing Renault,1:34.787,+0.630s,20,Japan,2013
774,3,8,Romain Grosjean GRO,Lotus Renault,53,+9.910s,15,10,8,Lotus Renault,48,1:35.991,217.782,1,8,Lotus Renault,12,15:23:30,23.282,23.282,4,8,Lotus Renault,1:31.365,4,8,Lotus Renault,1:31.824,1:31.565,1:31.365,21,4,8,Lotus Renault,1:32.707,+0.654s,26,5,8,Lotus Renault,1:34.411,+0.559s,30,7,8,Lotus Renault,1:35.179,+1.022s,15,Japan,2013
775,3,8,Romain Grosjean GRO,Lotus Renault,53,+9.910s,15,10,8,Lotus Renault,48,1:35.991,217.782,2,8,Lotus Renault,29,15:51:38,23.086,46.368,4,8,Lotus Renault,1:31.365,4,8,Lotus Renault,1:31.824,1:31.565,1:31.365,21,4,8,Lotus Renault,1:32.707,+0.654s,26,5,8,Lotus Renault,1:34.411,+0.559s,30,7,8,Lotus Renault,1:35.179,+1.022s,15,Japan,2013
