,Race_result_Pos,Race_result_No,Driver,Race_result_Car,Race_result_Laps,Race_result_Time/Retired,Race_result_PTS,Fastest_laps_Pos,Fastest_laps_No,Fastest_laps_Car,Fastest_laps_Lap,Fastest_laps_Time_of_day,Fastest_laps_Time,Fastest_laps_Avg_Speed,Pit_stop_summary_Stops,Pit_stop_summary_No,Pit_stop_summary_Car,Pit_stop_summary_Lap,Pit_stop_summary_Time_of_day,Pit_stop_summary_Time,Pit_stop_summary_Total,Starting_grid_Pos,Starting_grid_No,Starting_grid_Car,Starting_grid_Time,Qualifying_Pos,Qualifying_No,Qualifying_Car,Qualifying_Q1,Qualifying_Q2,Qualifying_Q3,Qualifying_Laps,Practice_3_Pos,Practice_3_No,Practice_3_Car,Practice_3_Time,Practice_3_Gap,Practice_3_Laps,Practice_2_Pos,Practice_2_No,Practice_2_Car,Practice_2_Time,Practice_2_Gap,Practice_2_Laps,Practice_1_Pos,Practice_1_No,Practice_1_Car,Practice_1_Time,Practice_1_Gap,Practice_1_Laps,location,year,Pit_stop_summary_Pos,Pit_stop_summary_Avg_Speed
228,14,7,Kimi Räikkönen RAI,Ferrari,46,DNF,0,7,7,Ferrari,44,18:57:57,1:45.542,204.760,4,7,Ferrari,33,18:38:11,14.943,27:17.077,3,7,Ferrari,1:41.693,3,7,Ferrari,1:42.678,1:42.090,1:41.693,23,2,7,Ferrari,1:42.837,+0.095s,14,4,7,Ferrari,1:43.489,+0.127s,35,9,7,Ferrari,1:46.000,+1.590s,18,Azerbaijan,2017,,
229,NC,11,Sergio Perez PER,Force India Mercedes,39,DNF,0,8,11,Force India Mercedes,37,18:45:25,1:45.588,204.670,1,11,Force India Mercedes,12,17:25:35,20.598,20.598,6,11,Force India Mercedes,1:42.111,6,11,Force India Mercedes,1:43.162,1:42.467,1:42.111,21,10,11,Force India Mercedes,1:44.138,+1.396s,22,7,11,Force India Mercedes,1:44.306,+0.944s,34,4,11,Force India Mercedes,1:45.398,+0.988s,16,Azerbaijan,2017,,
230,NC,11,Sergio Perez PER,Force India Mercedes,39,DNF,0,8,11,Force India Mercedes,37,18:45:25,1:45.588,204.670,2,11,Force India Mercedes,17,17:39:19,15.278,35.876,6,11,Force India Mercedes,1:42.111,6,11,Force India Mercedes,1:43.162,1:42.467,1:42.111,21,10,11,Force India Mercedes,1:44.138,+1.396s,22,7,11,Force India Mercedes,1:44.306,+0.944s,34,4,11,Force India Mercedes,1:45.398,+0.988s,16,Azerbaijan,2017,,
231,NC,11,Sergio Perez PER,Force India Mercedes,39,DNF,0,8,11,Force India Mercedes,37,18:45:25,1:45.588,204.670,3,11,Force India Mercedes,20,17:47:36,26:34.609,27:10.485,6,11,Force India Mercedes,1:42.111,6,11,Force India Mercedes,1:43.162,1:42.467,1:42.111,21,10,11,Force India Mercedes,1:44.138,+1.396s,22,7,11,Force India Mercedes,1:44.306,+0.944s,34,4,11,Force India Mercedes,1:45.398,+0.988s,16,Azerbaijan,2017,,
232,NC,11,Sergio Perez PER,Force India Mercedes,39,DNF,0,8,11,Force India Mercedes,37,18:45:25,1:45.588,204.670,4,11,Force India Mercedes,33,18:38:09,14.951,27:25.436,6,11,Force India Mercedes,1:42.111,6,11,Force India Mercedes,1:43.162,1:42.467,1:42.111,21,10,11,Force India Mercedes,1:44.138,+1.396s,22,7,11,Force India Mercedes,1:44.306,+0.944s,34,4,11,Force India Mercedes,1:45.398,+0.988s,16,Azerbaijan,2017,,
233,NC,19,Felipe Massa MAS,Williams Mercedes,25,DNF,0,17,19,Williams Mercedes,10,17:21:50,1:47.340,201.330,1,19,Williams Mercedes,12,17:25:43,21.453,21.453,9,19,Williams Mercedes,1:42.798,9,19,Williams Mercedes,1:43.165,1:42.735,1:42.798,22,7,19,Williams Mercedes,1:43.738,+0.996s,18,11,19,Williams Mercedes,1:44.609,+1.247s,33,8,19,Williams Mercedes,1:45.968,+1.558s,25,Azerbaijan,2017,,
234,NC,19,Felipe Massa MAS,Williams Mercedes,25,DNF,0,17,19,Williams Mercedes,10,17:21:50,1:47.340,201.330,2,19,Williams Mercedes,17,17:39:20,15.033,36.486,9,19,Williams Mercedes,1:42.798,9,19,Williams Mercedes,1:43.165,1:42.735,1:42.798,22,7,19,Williams Mercedes,1:43.738,+0.996s,18,11,19,Williams Mercedes,1:44.609,+1.247s,33,8,19,Williams Mercedes,1:45.968,+1.558s,25,Azerbaijan,2017,,
235,NC,19,Felipe Massa MAS,Williams Mercedes,25,DNF,0,17,19,Williams Mercedes,10,17:21:50,1:47.340,201.330,3,19,Williams Mercedes,22,17:53:30,21:50.671,22:27.157,9,19,Williams Mercedes,1:42.798,9,19,Williams Mercedes,1:43.165,1:42.735,1:42.798,22,7,19,Williams Mercedes,1:43.738,+0.996s,18,11,19,Williams Mercedes,1:44.609,+1.247s,33,8,19,Williams Mercedes,1:45.968,+1.558s,25,Azerbaijan,2017,,
236,NC,27,Nico Hulkenberg HUL,Renault,24,DNF,0,19,27,Renault,9,17:20:16,1:48.536,199.111,1,27,Renault,13,17:28:32,21.263,21.263,13,27,Renault,1:44.267,14,27,Renault,1:43.930,1:44.267,,12,11,27,Renault,1:44.312,+1.570s,16,15,27,Renault,1:46.003,+2.641s,29,14,27,Renault,1:47.217,+2.807s,21,Azerbaijan,2017,,
237,NC,27,Nico Hulkenberg HUL,Renault,24,DNF,0,19,27,Renault,9,17:20:16,1:48.536,199.111,2,27,Renault,17,17:39:24,15.638,36.901,13,27,Renault,1:44.267,14,27,Renault,1:43.930,1:44.267,,12,11,27,Renault,1:44.312,+1.570s,16,15,27,Renault,1:46.003,+2.641s,29,14,27,Renault,1:47.217,+2.807s,21,Azerbaijan,2017,,
238,NC,27,Nico Hulkenberg HUL,Renault,24,DNF,0,19,27,Renault,9,17:20:16,1:48.536,199.111,3,27,Renault,22,17:53:35,21:53.641,22:30.542,13,27,Renault,1:44.267,14,27,Renault,1:43.930,1:44.267,,12,11,27,Renault,1:44.312,+1.570s,16,15,27,Renault,1:46.003,+2.641s,29,14,27,Renault,1:47.217,+2.807s,21,Azerbaijan,2017,,
239,NC,33,Max Verstappen VER,Red Bull Racing TAG Heuer,12,DNF,0,12,33,Red Bull Racing TAG Heuer,10,17:21:43,1:46.398,203.112,,,,,,,,5,33,Red Bull Racing TAG Heuer,1:41.879,5,33,Red Bull Racing TAG Heuer,1:42.544,1:41.961,1:41.879,22,6,33,Red Bull Racing TAG Heuer,1:43.614,+0.872s,16,1,33,Red Bull Racing TAG Heuer,1:43.362,,36,1,33,Red Bull Racing TAG Heuer,1:44.410,,19,Azerbaijan,2017,,
240,NC,26,Daniil Kvyat KVY,Toro Rosso,9,DNF,0,18,26,Toro Rosso,9,17:20:20,1:48.394,199.372,,,,,,,,11,26,Toro Rosso,1:43.186,11,26,Toro Rosso,1:42.927,1:43.186,,19,8,26,Toro Rosso,1:43.908,+1.166s,21,8,26,Toro Rosso,1:44.321,+0.959s,27,10,26,Toro Rosso,1:46.617,+2.207s,11,Azerbaijan,2017,,
241,NC,30,Jolyon Palmer PAL,Renault,7,DNF,0,20,30,Renault,5,17:13:19,1:51.673,193.518,,,,,,,,20,30,Renault,,,,,,,,,20,30,Renault,1:53.040,+10.298s,4,16,30,Renault,1:46.061,+2.699s,17,18,30,Renault,1:48.525,+4.115s,15,Azerbaijan,2017,,
242,1,77,Valtteri Bottas BOT,Mercedes,71,1:21:48.523,25,5,77,Mercedes,51,15:01:55,1:07.847,229.115,1,77,Mercedes,41,14:50:11,22.387,22.387,1,77,Mercedes,1:04.251,1,77,Mercedes,1:05.760,1:04.316,1:04.251,18,3,77,Mercedes,1:05.515,+0.423s,19,3,77,Mercedes,1:05.699,+0.216s,41,3,77,Mercedes,1:06.345,+0.370s,35,Austria,2017,,
243,2,5,Sebastian Vettel VET,Ferrari,71,+0.658s,18,4,5,Ferrari,69,15:22:23,1:07.496,230.306,1,5,Ferrari,34,14:42:15,21.750,21.750,2,5,Ferrari,1:04.293,2,5,Ferrari,1:05.585,1:04.772,1:04.293,17,1,5,Ferrari,1:05.092,,18,2,5,Ferrari,1:05.630,+0.147s,50,4,5,Ferrari,1:06.424,+0.449s,28,Austria,2017,,
244,3,3,Daniel Ricciardo RIC,Red Bull Racing TAG Heuer,71,+6.012s,15,2,3,Red Bull Racing TAG Heuer,69,15:22:28,1:07.442,230.491,1,3,Red Bull Racing TAG Heuer,33,14:41:11,21.713,21.713,4,3,Red Bull Racing TAG Heuer,1:04.896,5,3,Red Bull Racing TAG Heuer,1:05.854,1:05.161,1:04.896,22,6,3,Red Bull Racing TAG Heuer,1:05.896,+0.804s,29,5,3,Red Bull Racing TAG Heuer,1:05.873,+0.390s,27,5,3,Red Bull Racing TAG Heuer,1:06.620,+0.645s,32,Austria,2017,,
245,4,44,Lewis Hamilton HAM,Mercedes,71,+7.430s,12,1,44,Mercedes,69,15:22:29,1:07.411,230.597,1,44,Mercedes,31,14:38:58,20.761,20.761,8,44,Mercedes,1:04.424,3,44,Mercedes,1:05.064,1:04.800,1:04.424,17,2,44,Mercedes,1:05.361,+0.269s,21,1,44,Mercedes,1:05.483,,30,1,44,Mercedes,1:05.975,,38,Austria,2017,,
246,5,7,Kimi Räikkönen RAI,Ferrari,71,+20.370s,10,3,7,Ferrari,68,15:21:35,1:07.486,230.341,1,7,Ferrari,44,14:53:59,21.662,21.662,3,7,Ferrari,1:04.779,4,7,Ferrari,1:05.148,1:05.004,1:04.779,17,4,7,Ferrari,1:05.611,+0.519s,19,6,7,Ferrari,1:06.144,+0.661s,54,6,7,Ferrari,1:06.848,+0.873s,24,Austria,2017,,
247,6,8,Romain Grosjean GRO,Haas Ferrari,71,+73.160s,8,10,8,Haas Ferrari,65,15:18:53,1:08.590,226.633,1,8,Haas Ferrari,36,14:45:10,22.026,22.026,6,8,Haas Ferrari,1:05.480,7,8,Haas Ferrari,1:05.902,1:05.319,1:05.480,30,8,8,Haas Ferrari,1:06.015,+0.923s,22,10,8,Haas Ferrari,1:06.763,+1.280s,52,16,8,Haas Ferrari,1:08.074,+2.099s,20,Austria,2017,,
248,7,11,Sergio Perez PER,Force India Mercedes,70,+1 lap,6,9,11,Force India Mercedes,58,15:10:55,1:08.470,227.030,1,11,Force India Mercedes,35,14:44:03,22.030,22.030,7,11,Force India Mercedes,1:05.605,8,11,Force India Mercedes,1:05.975,1:05.435,1:05.605,21,18,11,Force India Mercedes,1:06.875,+1.783s,28,17,11,Force India Mercedes,1:07.509,+2.026s,41,,,,,,,Austria,2017,,
249,8,31,Esteban Ocon OCO,Force India Mercedes,70,+1 lap,4,12,31,Force India Mercedes,68,15:22:37,1:08.659,226.405,1,31,Force India Mercedes,42,14:52:17,22.176,22.176,9,31,Force India Mercedes,1:05.674,9,31,Force India Mercedes,1:06.033,1:05.550,1:05.674,22,11,31,Force India Mercedes,1:06.374,+1.282s,26,11,31,Force India Mercedes,1:06.849,+1.366s,50,10,31,Force India Mercedes,1:07.511,+1.536s,39,Austria,2017,,
250,9,19,Felipe Massa MAS,Williams Mercedes,70,+1 lap,2,7,19,Williams Mercedes,49,15:00:44,1:08.419,227.200,1,19,Williams Mercedes,47,14:58:07,20.977,20.977,17,19,Williams Mercedes,1:06.534,17,19,Williams Mercedes,1:06.534,,,8,17,19,Williams Mercedes,1:06.865,+1.773s,24,14,19,Williams Mercedes,1:07.065,+1.582s,50,11,19,Williams Mercedes,1:07.550,+1.575s,29,Austria,2017,,
251,10,18,Lance Stroll STR,Williams Mercedes,70,+1 lap,1,13,18,Williams Mercedes,67,15:21:46,1:08.777,226.017,1,18,Williams Mercedes,35,14:44:21,21.332,21.332,18,18,Williams Mercedes,1:06.608,18,18,Williams Mercedes,1:06.608,,,11,16,18,Williams Mercedes,1:06.776,+1.684s,22,16,18,Williams Mercedes,1:07.468,+1.985s,46,15,18,Williams Mercedes,1:08.041,+2.066s,35,Austria,2017,,
252,11,30,Jolyon Palmer PAL,Renault,70,+1 lap,0,11,30,Renault,64,15:18:21,1:08.652,226.428,1,30,Renault,34,14:43:13,22.233,22.233,16,30,Renault,1:06.345,16,30,Renault,1:06.345,,,10,14,30,Renault,1:06.595,+1.503s,22,18,30,Renault,1:07.623,+2.140s,7,14,30,Renault,1:07.649,+1.674s,31,Austria,2017,,
253,12,2,Stoffel Vandoorne VAN,McLaren Honda,70,+1 lap,0,8,2,McLaren Honda,67,15:22:03,1:08.422,227.190,1,2,McLaren Honda,31,14:39:43,21.714,21.714,13,2,McLaren Honda,1:05.741,13,2,McLaren Honda,1:06.316,1:05.741,,14,13,2,McLaren Honda,1:06.578,+1.486s,18,12,2,McLaren Honda,1:06.859,+1.376s,37,7,2,McLaren Honda,1:07.283,+1.308s,31,Austria,2017,,
254,12,2,Stoffel Vandoorne VAN,McLaren Honda,70,+1 lap,0,8,2,McLaren Honda,67,15:22:03,1:08.422,227.190,2,2,McLaren Honda,44,14:55:17,16.206,37.920,13,2,McLaren Honda,1:05.741,13,2,McLaren Honda,1:06.316,1:05.741,,14,13,2,McLaren Honda,1:06.578,+1.486s,18,12,2,McLaren Honda,1:06.859,+1.376s,37,7,2,McLaren Honda,1:07.283,+1.308s,31,Austria,2017,,
255,13,27,Nico Hulkenberg HUL,Renault,70,+1 lap,0,14,27,Renault,64,15:18:44,1:09.043,225.146,1,27,Renault,14,14:19:44,21.977,21.977,11,27,Renault,1:05.597,11,27,Renault,1:06.174,1:05.597,,16,12,27,Renault,1:06.563,+1.471s,18,9,27,Renault,1:06.735,+1.252s,42,,,,,,,Austria,2017,,
256,14,94,Pascal Wehrlein WEH,Sauber Ferrari,70,+1 lap,0,16,94,Sauber Ferrari,60,15:14:11,1:09.241,224.502,1,94,Sauber Ferrari,35,14:44:41,22.414,22.414,,,,,20,94,Sauber Ferrari,1:07.011,,,11,20,94,Sauber Ferrari,1:07.468,+2.376s,25,19,94,Sauber Ferrari,1:08.782,+3.299s,49,19,94,Sauber Ferrari,1:09.323,+3.348s,29,Austria,2017,,
257,15,9,Marcus Ericsson ERI,Sauber Ferrari,69,+2 laps,0,17,9,Sauber Ferrari,56,15:09:39,1:09.284,224.363,1,9,Sauber Ferrari,34,14:43:40,22.339,22.339,19,9,Sauber Ferrari,1:06.857,19,9,Sauber Ferrari,1:06.857,,,12,19,9,Sauber Ferrari,1:07.378,+2.286s,21,20,9,Sauber Ferrari,1:08.870,+3.387s,51,20,9,Sauber Ferrari,1:10.853,+4.878s,12,Austria,2017,,
258,16,26,Daniil Kvyat KVY,Toro Rosso,68,+3 laps,0,6,26,Toro Rosso,57,15:12:06,1:08.061,228.395,1,26,Toro Rosso,1,14:04:23,33.607,33.607,14,26,Toro Rosso,1:05.884,14,26,Toro Rosso,1:05.990,1:05.884,,16,9,26,Toro Rosso,1:06.279,+1.187s,28,13,26,Toro Rosso,1:06.906,+1.423s,34,8,26,Toro Rosso,1:07.437,+1.462s,31,Austria,2017,,
259,16,26,Daniil Kvyat KVY,Toro Rosso,68,+3 laps,0,6,26,Toro Rosso,57,15:12:06,1:08.061,228.395,2,26,Toro Rosso,9,14:14:29,16.139,49.746,14,26,Toro Rosso,1:05.884,14,26,Toro Rosso,1:05.990,1:05.884,,16,9,26,Toro Rosso,1:06.279,+1.187s,28,13,26,Toro Rosso,1:06.906,+1.423s,34,8,26,Toro Rosso,1:07.437,+1.462s,31,Austria,2017,,
260,16,26,Daniil Kvyat KVY,Toro Rosso,68,+3 laps,0,6,26,Toro Rosso,57,15:12:06,1:08.061,228.395,3,26,Toro Rosso,55,15:09:24,22.274,1:12.020,14,26,Toro Rosso,1:05.884,14,26,Toro Rosso,1:05.990,1:05.884,,16,9,26,Toro Rosso,1:06.279,+1.187s,28,13,26,Toro Rosso,1:06.906,+1.423s,34,8,26,Toro Rosso,1:07.437,+1.462s,31,Austria,2017,,
261,NC,55,Carlos Sainz SAI,Toro Rosso,44,DNF,0,15,55,Toro Rosso,42,14:52:58,1:09.150,224.798,1,55,Toro Rosso,40,14:50:18,21.659,21.659,10,55,Toro Rosso,1:05.726,10,55,Toro Rosso,1:05.675,1:05.544,1:05.726,23,10,55,Toro Rosso,1:06.284,+1.192s,19,15,55,Toro Rosso,1:07.100,+1.617s,24,13,55,Toro Rosso,1:07.633,+1.658s,32,Austria,2017,,
262,NC,20,Kevin Magnussen MAG,Haas Ferrari,29,DNF,0,18,20,Haas Ferrari,23,14:30:14,1:10.402,220.800,,,,,,,,15,20,Haas Ferrari,,15,20,Haas Ferrari,1:06.143,,,6,7,20,Haas Ferrari,1:05.936,+0.844s,21,7,20,Haas Ferrari,1:06.591,+1.108s,43,12,20,Haas Ferrari,1:07.594,+1.619s,30,Austria,2017,,
263,NC,14,Fernando Alonso ALO,McLaren Honda,1,DNF,0,,,,,,,,,,,,,,,12,14,McLaren Honda,1:05.602,12,14,McLaren Honda,1:06.158,1:05.602,,14,15,14,McLaren Honda,1:06.599,+1.507s,20,8,14,McLaren Honda,1:06.732,+1.249s,27,9,14,McLaren Honda,1:07.510,+1.535s,28,Austria,2017,,
264,NC,33,Max Verstappen VER,Red Bull Racing TAG Heuer,0,DNF,0,,,,,,,,,,,,,,,5,33,Red Bull Racing TAG Heuer,1:04.983,6,33,Red Bull Racing TAG Heuer,1:05.779,1:04.948,1:04.983,16,5,33,Red Bull Racing TAG Heuer,1:05.784,+0.692s,24,4,33,Red Bull Racing TAG Heuer,1:05.832,+0.349s,33,2,33,Red Bull Racing TAG Heuer,1:06.165,+0.190s,23,Austria,2017,,
265,,,Sergey Sirotkin SIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,46,Renault,1:08.586,+2.611s,27,Austria,2017,,
266,,,Alfonso Celis CEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,34,Force India Mercedes,1:09.280,+3.305s,15,Austria,2017,,
267,1,44,Lewis Hamilton HAM,Mercedes,51,1:21:27.430,25,1,44,Mercedes,48,14:22:57,1:30.621,234.025,1,44,Mercedes,25,13:47:14,27.733,27.733,1,44,Mercedes,1:26.600,1,44,Mercedes,1:39.069,1:27.893,1:26.600,25,1,44,Mercedes,1:28.063,,18,2,44,Mercedes,1:28.543,+0.047s,35,2,44,Mercedes,1:29.184,+0.078s,29,Great Britain,2017,,
268,2,77,Valtteri Bottas BOT,Mercedes,51,+14.063s,18,3,77,Mercedes,46,14:20:12,1:30.905,233.294,1,77,Mercedes,32,13:58:23,27.858,27.858,9,77,Mercedes,1:27.376,4,77,Mercedes,1:39.698,1:28.732,1:27.376,26,3,77,Mercedes,1:28.137,+0.074s,20,1,77,Mercedes,1:28.496,,31,1,77,Mercedes,1:29.106,,29,Great Britain,2017,,
269,3,7,Kimi Räikkönen RAI,Ferrari,51,+36.570s,15,4,7,Ferrari,44,14:17:03,1:31.517,231.733,1,7,Ferrari,24,13:45:53,28.476,28.476,2,7,Ferrari,1:27.147,2,7,Ferrari,1:40.455,1:28.992,1:27.147,26,4,7,Ferrari,1:28.732,+0.669s,15,3,7,Ferrari,1:28.828,+0.332s,36,5,7,Ferrari,1:30.137,+1.031s,19,Great Britain,2017,,
270,3,7,Kimi Räikkönen RAI,Ferrari,51,+36.570s,15,4,7,Ferrari,44,14:17:03,1:31.517,231.733,2,7,Ferrari,49,14:24:46,29.057,57.533,2,7,Ferrari,1:27.147,2,7,Ferrari,1:40.455,1:28.992,1:27.147,26,4,7,Ferrari,1:28.732,+0.669s,15,3,7,Ferrari,1:28.828,+0.332s,36,5,7,Ferrari,1:30.137,+1.031s,19,Great Britain,2017,,
271,4,33,Max Verstappen VER,Red Bull Racing TAG Heuer,51,+52.125s,12,2,33,Red Bull Racing TAG Heuer,51,14:28:36,1:30.678,233.878,1,33,Red Bull Racing TAG Heuer,19,13:38:17,29.147,29.147,4,33,Red Bull Racing TAG Heuer,1:28.130,5,33,Red Bull Racing TAG Heuer,1:38.912,1:29.431,1:28.130,23,8,33,Red Bull Racing TAG Heuer,1:29.904,+1.841s,13,5,33,Red Bull Racing TAG Heuer,1:29.098,+0.602s,32,3,33,Red Bull Racing TAG Heuer,1:29.604,+0.498s,26,Great Britain,2017,,
272,4,33,Max Verstappen VER,Red Bull Racing TAG Heuer,51,+52.125s,12,2,33,Red Bull Racing TAG Heuer,51,14:28:36,1:30.678,233.878,2,33,Red Bull Racing TAG Heuer,49,14:25:07,28.056,57.203,4,33,Red Bull Racing TAG Heuer,1:28.130,5,33,Red Bull Racing TAG Heuer,1:38.912,1:29.431,1:28.130,23,8,33,Red Bull Racing TAG Heuer,1:29.904,+1.841s,13,5,33,Red Bull Racing TAG Heuer,1:29.098,+0.602s,32,3,33,Red Bull Racing TAG Heuer,1:29.604,+0.498s,26,Great Britain,2017,,
273,5,3,Daniel Ricciardo RIC,Red Bull Racing TAG Heuer,51,+65.955s,10,6,3,Red Bull Racing TAG Heuer,47,14:22:39,1:31.874,230.833,1,3,Red Bull Racing TAG Heuer,32,13:59:09,27.910,27.910,19,3,Red Bull Racing TAG Heuer,1:42.966,20,3,Red Bull Racing TAG Heuer,1:42.966,,,4,6,3,Red Bull Racing TAG Heuer,1:29.612,+1.549s,15,6,3,Red Bull Racing TAG Heuer,1:29.586,+1.090s,35,4,3,Red Bull Racing TAG Heuer,1:29.942,+0.836s,19,Great Britain,2017,,
274,6,27,Nico Hulkenberg HUL,Renault,51,+68.109s,8,8,27,Renault,43,14:16:25,1:32.577,229.080,1,27,Renault,24,13:46:27,30.841,30.841,5,27,Renault,1:28.856,6,27,Renault,1:39.201,1:29.340,1:28.856,21,5,27,Renault,1:29.480,+1.417s,14,7,27,Renault,1:29.936,+1.440s,37,17,27,Renault,1:32.171,+3.065s,19,Great Britain,2017,,
275,7,5,Sebastian Vettel VET,Ferrari,51,+93.989s,6,5,5,Ferrari,38,14:07:55,1:31.872,230.838,1,5,Ferrari,18,13:36:44,28.363,28.363,3,5,Ferrari,1:27.356,3,5,Ferrari,1:39.962,1:28.978,1:27.356,24,2,5,Ferrari,1:28.095,+0.032s,14,4,5,Ferrari,1:28.956,+0.460s,36,6,5,Ferrari,1:30.517,+1.411s,19,Great Britain,2017,,
276,7,5,Sebastian Vettel VET,Ferrari,51,+93.989s,6,5,5,Ferrari,38,14:07:55,1:31.872,230.838,2,5,Ferrari,50,14:27:09,35.204,1:03.567,3,5,Ferrari,1:27.356,3,5,Ferrari,1:39.962,1:28.978,1:27.356,24,2,5,Ferrari,1:28.095,+0.032s,14,4,5,Ferrari,1:28.956,+0.460s,36,6,5,Ferrari,1:30.517,+1.411s,19,Great Britain,2017,,
277,8,31,Esteban Ocon OCO,Force India Mercedes,50,+1 lap,4,15,31,Force India Mercedes,39,14:10:34,1:33.521,226.768,1,31,Force India Mercedes,20,13:40:15,29.194,29.194,7,31,Force India Mercedes,1:29.074,8,31,Force India Mercedes,1:39.738,1:29.701,1:29.074,25,12,31,Force India Mercedes,1:30.172,+2.109s,19,10,31,Force India Mercedes,1:30.383,+1.887s,42,12,31,Force India Mercedes,1:31.210,+2.104s,32,Great Britain,2017,,
278,9,11,Sergio Perez PER,Force India Mercedes,50,+1 lap,2,14,11,Force India Mercedes,42,14:15:15,1:33.504,226.809,1,11,Force India Mercedes,23,13:45:01,28.942,28.942,6,11,Force India Mercedes,1:28.902,7,11,Force India Mercedes,1:42.009,1:29.824,1:28.902,26,15,11,Force India Mercedes,1:30.416,+2.353s,16,13,11,Force India Mercedes,1:30.624,+2.128s,43,13,11,Force India Mercedes,1:31.297,+2.191s,34,Great Britain,2017,,
279,10,19,Felipe Massa MAS,Williams Mercedes,50,+1 lap,1,16,19,Williams Mercedes,39,14:10:35,1:33.562,226.668,1,19,Williams Mercedes,25,13:48:18,27.583,27.583,14,19,Williams Mercedes,1:31.482,15,19,Williams Mercedes,1:41.874,1:31.482,,21,9,19,Williams Mercedes,1:29.959,+1.896s,19,8,19,Williams Mercedes,1:30.006,+1.510s,36,9,19,Williams Mercedes,1:30.999,+1.893s,26,Great Britain,2017,,
280,11,2,Stoffel Vandoorne VAN,McLaren Honda,50,+1 lap,0,13,2,McLaren Honda,43,14:16:55,1:33.464,226.906,1,2,McLaren Honda,26,13:49:50,29.337,29.337,8,2,McLaren Honda,1:29.418,9,2,McLaren Honda,1:40.011,1:30.105,1:29.418,24,10,2,McLaren Honda,1:30.088,+2.025s,19,16,2,McLaren Honda,1:30.782,+2.286s,31,10,2,McLaren Honda,1:31.041,+1.935s,27,Great Britain,2017,,
281,12,20,Kevin Magnussen MAG,Haas Ferrari,50,+1 lap,0,9,20,Haas Ferrari,41,14:13:56,1:32.683,228.818,1,20,Haas Ferrari,37,14:07:18,28.099,28.099,16,20,Haas Ferrari,1:42.577,17,20,Haas Ferrari,1:42.577,,,11,13,20,Haas Ferrari,1:30.270,+2.207s,15,17,20,Haas Ferrari,1:30.835,+2.339s,33,,,,,,,Great Britain,2017,,
282,13,8,Romain Grosjean GRO,Haas Ferrari,50,+1 lap,0,7,8,Haas Ferrari,45,14:20:28,1:32.290,229.793,1,8,Haas Ferrari,23,13:45:11,28.361,28.361,10,8,Haas Ferrari,1:29.549,10,8,Haas Ferrari,1:42.042,1:29.966,1:29.549,26,7,8,Haas Ferrari,1:29.819,+1.756s,14,14,8,Haas Ferrari,1:30.661,+2.165s,33,14,8,Haas Ferrari,1:31.610,+2.504s,24,Great Britain,2017,,
283,13,8,Romain Grosjean GRO,Haas Ferrari,50,+1 lap,0,7,8,Haas Ferrari,45,14:20:28,1:32.290,229.793,2,8,Haas Ferrari,43,14:16:53,28.998,57.359,10,8,Haas Ferrari,1:29.549,10,8,Haas Ferrari,1:42.042,1:29.966,1:29.549,26,7,8,Haas Ferrari,1:29.819,+1.756s,14,14,8,Haas Ferrari,1:30.661,+2.165s,33,14,8,Haas Ferrari,1:31.610,+2.504s,24,Great Britain,2017,,
284,14,9,Marcus Ericsson ERI,Sauber Ferrari,50,+1 lap,0,10,9,Sauber Ferrari,30,13:56:54,1:33.119,227.747,1,9,Sauber Ferrari,28,13:53:19,28.825,28.825,18,9,Sauber Ferrari,1:42.633,19,9,Sauber Ferrari,1:42.633,,,10,19,9,Sauber Ferrari,1:30.630,+2.567s,24,19,9,Sauber Ferrari,1:31.616,+3.120s,27,20,9,Sauber Ferrari,1:33.399,+4.293s,26,Great Britain,2017,,
285,15,26,Daniil Kvyat KVY,Toro Rosso,50,+1 lap,0,17,26,Toro Rosso,29,13:55:36,1:33.594,226.591,1,26,Toro Rosso,1,13:08:08,45.538,45.538,12,26,Toro Rosso,1:30.355,12,26,Toro Rosso,1:41.726,1:30.355,,20,16,26,Toro Rosso,1:30.504,+2.441s,20,12,26,Toro Rosso,1:30.562,+2.066s,34,7,26,Toro Rosso,1:30.895,+1.789s,21,Great Britain,2017,,
286,15,26,Daniil Kvyat KVY,Toro Rosso,50,+1 lap,0,17,26,Toro Rosso,29,13:55:36,1:33.594,226.591,2,26,Toro Rosso,9,13:23:00,22.895,1:08.433,12,26,Toro Rosso,1:30.355,12,26,Toro Rosso,1:41.726,1:30.355,,20,16,26,Toro Rosso,1:30.504,+2.441s,20,12,26,Toro Rosso,1:30.562,+2.066s,34,7,26,Toro Rosso,1:30.895,+1.789s,21,Great Britain,2017,,
287,15,26,Daniil Kvyat KVY,Toro Rosso,50,+1 lap,0,17,26,Toro Rosso,29,13:55:36,1:33.594,226.591,3,26,Toro Rosso,27,13:52:00,28.630,1:37.063,12,26,Toro Rosso,1:30.355,12,26,Toro Rosso,1:41.726,1:30.355,,20,16,26,Toro Rosso,1:30.504,+2.441s,20,12,26,Toro Rosso,1:30.562,+2.066s,34,7,26,Toro Rosso,1:30.895,+1.789s,21,Great Britain,2017,,
